code,name,previous,births,deaths,natural change,Internal Inflow,Internal Outflow,Internal Net,International Inflow,International Outflow,International Net,Other,now,area
E07000031,South Lakeland,103453,813,1210,-397,4500,4138,362,476,449,27,11,103456,1743.185094
E11000001,Greater Manchester (Met County),2702209,37116,23965,13151,62013,67919,-5906,21034,15644,5390,100,2714944,0
E08000001,Bolton,278984,3802,2561,1241,8256,8851,-595,1617,1203,414,13,280057,139.798982
E08000002,Bury,186199,2457,1824,633,6908,7316,-408,670,574,96,7,186527,99.50036
E08000003,Manchester,510772,7994,3510,4484,35128,38787,-3659,11127,8258,2869,-49,514417,115.557795
E08000004,Oldham,225875,3280,1920,1360,6308,6932,-624,1115,421,694,7,227312,142.349035
E08000005,Rochdale,212020,3016,1931,1085,6348,7490,-1142,898,745,153,4,212120,158.116008
E08000006,Salford,237085,3589,2222,1367,12301,12909,-608,2590,1497,1093,76,239013,97.179853
E08000007,Stockport,283897,3461,2725,736,10326,9916,410,763,797,-34,23,285032,126.068945
E08000008,Tameside,220241,3015,2232,783,6886,7335,-449,560,557,3,19,220597,103.163027
E08000009,Trafford,228466,2778,1976,802,10773,9749,1024,865,999,-134,21,230179,106.008609
E08000010,Wigan,318670,3724,3064,660,7927,7781,146,829,593,236,-22,319690,188.174397
E10000017,Lancashire,1175979,13581,12136,1445,37668,37699,-31,5415,2882,2533,150,1180076,2904.255456
E07000117,Burnley,87127,1207,952,255,3174,3686,-512,182,167,15,9,86894,110.684002
E07000118,Chorley,109077,1245,982,263,5253,4138,1115,266,186,80,-30,110505,202.905453
E07000119,Fylde,76020,644,1047,-403,4521,3706,815,199,221,-22,32,76442,182.633366
E07000120,Hyndburn,80190,1167,854,313,2871,3399,-528,180,114,66,5,80046,72.997467
E07000121,Lancaster,139665,1515,1505,10,7638,8239,-601,2012,583,1429,72,140575,654.196434
E07000122,Pendle,89613,1293,821,472,3130,3396,-266,410,112,298,14,90131,169.38007
E07000123,Preston,140540,1880,1238,642,7713,8877,-1164,1119,720,399,1,140418,142.944785
E07000124,Ribble Valley,57596,452,551,-99,2799,2428,371,130,143,-13,3,57858,584.471483
E07000125,Rossendale,68366,830,649,181,3031,2855,176,96,95,1,20,68744,138.040904
E07000126,South Ribble,108971,1214,996,218,4616,4894,-278,195,211,-16,18,108913,114.615102
E07000127,West Lancashire,110925,1160,1131,29,5209,5091,118,416,178,238,4,111314,381.095029
E07000128,Wyre,107889,974,1410,-436,6001,5277,724,210,152,58,1,108236,329.030181
E11000002,Merseyside (Met County),1385666,16005,14839,1166,29980,32219,-2239,7959,5877,2082,-86,1386589,0
E08000011,Knowsley,145936,1818,1495,323,5408,5622,-214,167,147,20,21,146086,86.535172
E08000012,Liverpool,469690,5728,4558,1170,21073,23327,-2254,6302,3997,2305,-131,470780,111.829041
E08000014,Sefton,273697,2840,3320,-480,8085,8086,-1,621,621,0,-9,273207,153.102068
E08000013,St. Helens,176114,2033,1851,182,4848,4956,-108,256,233,23,10,176221,136.410843
E08000015,Wirral,320229,3586,3615,-29,7547,7209,338,613,879,-266,23,320295,157.061568
E12000003,YORKSHIRE AND THE HUMBER,5316691,65513,50879,14634,100091,106900,-6809,32298,19607,12691,503,5337710,15564.0274
E06000011,East Riding of Yorkshire,335887,2958,3809,-851,14093,13374,719,810,596,214,38,336007,2406.556667
E06000010,"Kingston upon Hull, City of",257204,3776,2419,1357,8324,10135,-1811,2109,1221,888,-49,257589,71.45574
E06000012,North East Lincolnshire,159727,1929,1699,230,4268,4403,-135,344,365,-21,26,159827,191.91461
E06000013,North Lincolnshire,168372,1894,1703,191,4729,4917,-188,641,245,396,-11,168760,846.326935
E06000014,York,200018,2051,1814,237,12697,11641,1056,2571,1493,1078,44,202433,271.945025
E10000023,North Yorkshire,602628,5664,6396,-732,23174,21668,1506,2069,2727,-658,5,602749,8040.368924
E07000163,Craven,55457,465,629,-164,2679,2446,233,158,139,19,-5,55540,1178.807449
E07000164,Hambleton,89748,788,884,-96,3902,3672,230,228,216,12,19,89913,1311.228107
E07000165,Harrogate,158610,1515,1604,-89,6482,6101,381,685,1250,-565,-88,158249,1309.127584
E07000166,Richmondshire,53935,534,432,102,2674,2766,-92,239,364,-125,64,53884,1318.707306
E07000167,Ryedale,52102,407,633,-226,2536,2143,393,167,218,-51,-6,52212,1506.593828
E07000168,Scarborough,108632,1031,1427,-396,4461,4482,-21,349,350,-1,9,108223,826.527723
E07000169,Selby,84144,924,787,137,4021,3639,382,243,190,53,12,84728,602.223259
E11000003,South Yorkshire (Met County),1352144,16486,13026,3460,32975,35532,-2557,9464,4564,4900,206,1358153,0
E08000016,Barnsley,233671,2914,2352,562,7134,5974,1160,642,293,349,15,235757,329.129294
E08000017,Doncaster,302739,3691,3088,603,7766,8107,-341,1058,530,528,93,303622,568.018188
E08000018,Rotherham,258352,3144,2638,506,6959,7452,-493,713,430,283,41,258689,286.491325
E08000019,Sheffield,557382,6737,4948,1789,21758,24641,-2883,7051,3311,3740,57,560085,367.891495
E11000006,West Yorkshire (Met County),2240711,30755,20013,10742,54137,59536,-5399,14290,8396,5894,244,2252192,0
E08000032,Bradford,524619,8113,4513,3600,13874,17422,-3548,3604,1934,1670,28,526369,366.392364
E08000033,Calderdale,205293,2677,1943,734,6820,6819,1,649,326,323,4,206355,363.946175
E08000034,Kirklees,425517,5659,3655,2004,13040,13701,-661,2345,967,1378,41,428279,408.514846
E08000035,Leeds,757655,10205,6689,3516,35829,37360,-1531,6413,4703,1710,131,761481,551.811852
E08000036,Wakefield,327627,4101,3213,888,9349,9009,340,1279,466,813,40,329708,338.575813
E12000004,EAST MIDLANDS,4567731,54090,42429,11661,114982,109354,5628,30244,17558,12686,1023,4598729,15810.79852
E06000015,Derby,250568,3565,2220,1345,10246,11386,-1140,1809,1168,641,9,251423,78.022291
E06000016,Leicester,331606,5144,2500,2644,15842,18714,-2872,6310,3944,2366,68,333812,73.380387
E06000018,Nottingham,308735,4303,2331,1972,24228,26831,-2603,6716,4036,2680,53,310837,74.604857
E06000017,Rutland,37015,342,320,22,2413,2206,207,124,220,-96,458,37606,393.746467
E10000007,Derbyshire,773522,8143,7778,365,24601,22533,2068,1305,1213,92,113,776160,2550.846224
E07000032,Amber Valley,122746,1343,1214,129,5181,4563,618,172,173,-1,6,123498,265.437856
E07000033,Bolsover,76447,929,815,114,3324,3373,-49,273,70,203,14,76729,160.334634
E07000034,Chesterfield,103782,1170,1167,3,3600,3384,216,146,132,14,15,104030,66.035171
E07000035,Derbyshire Dales,71336,521,735,-214,2912,2750,162,135,174,-39,21,71266,795.318054
E07000036,Erewash,112809,1252,1077,175,4905,4678,227,142,213,-71,30,113170,109.630031
E07000037,High Peak,91118,918,849,69,3175,3261,-86,168,173,-5,15,91111,540.25398
E07000038,North East Derbyshire,99325,882,1051,-169,3862,3783,79,119,93,26,20,99281,275.623639
E07000039,South Derbyshire,95959,1128,870,258,5342,4441,901,150,185,-35,-8,97075,338.128971
E10000018,Leicestershire,656698,6928,5865,1063,28102,25385,2717,2513,1465,1048,49,661575,2083.784698
E07000129,Blaby,94593,1051,793,258,5014,4785,229,180,147,33,-21,95092,130.469031
E07000130,Charnwood,168779,1817,1463,354,10652,10117,535,1443,486,957,20,170645,279.041949
E07000131,Harborough,86389,791,783,8,4722,3703,1019,177,150,27,7,87450,592.692065
E07000132,Hinckley and Bosworth,106046,1141,962,179,4576,4233,343,207,189,18,27,106613,297.349456
E07000133,Melton,50770,536,470,66,2213,2210,3,115,135,-20,17,50836,481.380509
E07000134,North West Leicestershire,94018,978,836,142,4334,3785,549,173,73,100,5,94814,279.328082
E07000135,Oadby and Wigston,56103,614,558,56,4559,4520,39,218,285,-67,-6,56125,23.526098
E10000019,Lincolnshire,718838,7679,7770,-91,26716,23928,2788,4342,1697,2645,273,724453,5937.011182
E07000136,Boston,64793,874,733,141,2332,2649,-317,1376,159,1217,36,65870,397.691131
E07000137,East Lindsey,136596,1267,1844,-577,6778,6205,573,332,221,111,8,136711,1828.952015
E07000138,Lincoln,94588,1275,850,425,8049,8117,-68,927,344,583,95,95623,35.690284
E07000139,North Kesteven,109263,1065,1062,3,6042,5404,638,219,258,-39,41,109906,922.471378
E07000140,South Holland,88518,923,1018,-95,3605,3428,177,805,148,657,-14,89243,817.568101
E07000141,South Kesteven,135033,1395,1329,66,6861,5741,1120,508,409,99,67,136385,942.585805
E07000142,West Lindsey,90047,880,934,-54,5283,4618,665,175,158,17,40,90715,1157.652118
E10000021,Northamptonshire,700576,9057,5953,3104,22354,21691,663,4478,1986,2492,-188,706647,2367.034711
E07000150,Corby,63073,920,544,376,2581,2249,332,564,167,397,34,64212,80.280905
E07000151,Daventry,78281,797,720,77,4002,3982,20,272,165,107,71,78556,665.605543
E07000152,East Northamptonshire,87365,947,762,185,4757,4237,520,250,309,-59,-42,87969,509.789383
E07000153,Kettering,94841,1264,878,386,4257,3922,335,395,212,183,3,95748,233.489925
E07000154,Northampton,214566,3327,1757,1570,9447,10377,-930,2225,697,1528,5,216739,80.761985
E07000155,South Northamptonshire,86350,842,669,173,5049,4447,602,321,232,89,251,87465,634.023184
E07000156,Wellingborough,76100,960,623,337,3460,3676,-216,451,204,247,-510,75958,163.035991
E10000024,Nottinghamshire,790173,8929,7692,1237,30415,26615,3800,2647,1829,818,188,796216,2084.762491
E07000170,Ashfield,120131,1532,1140,392,5606,4682,924,224,140,84,22,121553,109.557941
E07000171,Bassetlaw,113178,1205,1182,23,4313,3985,328,345,191,154,-29,113654,639.492907
E07000172,Broxtowe,110716,1261,1032,229,6731,6708,23,647,387,260,15,111243,80.098852
E07000173,Gedling,114052,1278,1122,156,6152,5423,729,196,327,-131,12,114818,119.981507
E07000174,Mansfield,104737,1304,1065,239,4087,4194,-107,572,171,401,26,105296,76.696904
E07000175,Newark and Sherwood,115761,1268,1165,103,5849,5158,691,373,234,139,123,116817,651.835464
E07000176,Rushcliffe,111598,1081,986,95,7405,6193,1212,290,379,-89,19,112835,409.231438
E12000005,WEST MIDLANDS,5642569,72434,52510,19924,104244,107245,-3001,36420,22463,13957,1263,5674712,13003.79577
E06000019,"Herefordshire, County of",184932,1869,1887,-18,6399,6235,164,1395,667,728,281,186087,2179.67891
E06000051,Shropshire,308207,2835,3267,-432,11373,10057,1316,789,1067,-278,-246,308567,3197.318281
E06000021,Stoke-on-Trent,249903,3640,2430,1210,8879,10246,-1367,1410,941,469,12,250227,93.416855
E06000020,Telford and Wrekin,167682,2197,1400,797,6224,6289,-65,577,555,22,16,168452,290.32075
E10000028,Staffordshire,852123,8917,8403,514,28903,26954,1949,2531,1439,1092,1329,857007,2623.309075
E07000192,Cannock Chase,97940,1223,859,364,3424,3653,-229,99,72,27,17,98119,78.882278
E07000193,East Staffordshire,114388,1434,1094,340,4417,4485,-68,578,255,323,-61,114922,389.985159
E07000194,Lichfield,101186,976,1023,-47,4970,4448,522,240,123,117,-10,101768,331.296072
E07000195,Newcastle-under-Lyme,124183,1224,1305,-81,6833,6092,741,678,294,384,12,125239,210.957309
E07000196,South Staffordshire,108441,927,1146,-219,5265,4589,676,120,129,-9,1406,110295,407.322236
E07000197,Stafford,131630,1285,1298,-13,5542,5254,288,578,362,216,-29,132092,598.172228
E07000198,Staffordshire Moorlands,97237,874,1091,-217,3753,3321,432,108,137,-29,-8,97415,575.849811
E07000199,Tamworth,77118,974,587,387,2692,3105,-413,130,67,63,2,77157,30.846408
E10000031,Warwickshire,547974,6227,5137,1090,21147,21635,-488,2490,2424,66,87,548729,1977.530194
E07000218,North Warwickshire,62200,683,614,69,2904,3076,-172,77,54,23,4,62124,284.266502
E07000219,Nuneaton and Bedworth,125805,1619,1203,416,4407,4580,-173,269,352,-83,38,126003,78.950369
E07000220,Rugby,100751,1230,908,322,4365,4227,138,712,561,151,11,101373,353.557268
E07000221,Stratford-on-Avon,120578,1149,1228,-79,5878,5562,316,583,658,-75,27,120767,977.867411
E07000222,Warwick,138640,1546,1184,362,7521,8118,-597,849,799,50,7,138462,282.883991
E11000005,West Midlands (Met County),2762716,40459,24166,16293,66623,73119,-6496,24976,13877,11099,-137,2783475,0
E08000025,Birmingham,1085417,17533,8436,9097,40845,46487,-5642,12001,8623,3378,80,1092330,267.755286
E08000026,Coventry,323132,4599,2727,1872,15671,16267,-596,7326,1967,5359,43,329810,98.624084
E08000027,Dudley,313589,3875,3122,753,9155,9227,-72,499,358,141,16,314427,97.940893
E08000028,Sandwell,311304,5086,2971,2115,13108,13473,-365,1805,539,1266,9,314329,85.595663
E08000029,Solihull,207380,2219,1990,229,9955,8627,1328,483,578,-95,19,208861,178.275438
E08000030,Walsall,270924,3712,2489,1223,9226,9576,-350,769,414,355,9,272161,103.997289
E08000031,Wolverhampton,250970,3435,2431,1004,9239,10038,-799,2093,1398,695,-313,251557,69.440604
E10000034,Worcestershire,569032,6290,5820,470,18743,16757,1986,2252,1493,759,-79,572168,1740.51981
E07000234,Bromsgrove,94285,913,1124,-211,4862,4075,787,176,151,25,-142,94744,216.968475
E07000235,Malvern Hills,74980,606,991,-385,4466,3729,737,279,274,5,2,75339,577.070978
E07000236,Redditch,84419,1089,662,427,2565,3071,-506,365,200,165,16,84521,54.250917
E07000237,Worcester,99604,1410,822,588,5422,5469,-47,663,416,247,13,100405,33.278126
E07000238,Wychavon,117670,1157,1126,31,5768,5077,691,627,298,329,17,118738,663.541955
E07000239,Wyre Forest,98074,1115,1095,20,3456,3132,324,142,154,-12,15,98421,195.403715
E12000006,EAST,5907348,72609,53589,19020,149489,131952,17537,35752,23174,12578,-2314,5954169,19574.80888
E06000055,Bedford,159207,2106,1375,731,7937,6869,1068,1114,749,365,11,161382,476.381376
E06000056,Central Bedfordshire,259969,3313,2042,1271,14144,11913,2231,1601,563,1038,19,264528,715.582654
E06000032,Luton,205843,3451,1448,2003,8227,10158,-1931,3107,1044,2063,11,207989,43.359025
E06000031,Peterborough,186372,3208,1450,1758,7215,8572,-1357,2367,658,1709,-109,188373,343.421959
E06000033,Southend-on-Sea,174838,2216,1735,481,7862,7297,565,634,733,-99,13,175798,41.751911
E06000034,Thurrock,159533,2352,1139,1213,6426,6464,-38,713,588,125,16,160849,163.43919
E10000003,Cambridgeshire,628339,7520,4970,2550,28677,28351,326,6845,4009,2836,-1956,632095,3052.787539
E07000008,Cambridge,125155,1441,909,532,12575,13257,-682,3984,2268,1716,-241,126480,40.698796
E07000009,East Cambridgeshire,85097,1092,614,478,4262,4045,217,581,430,151,-545,85398,651.716375
E07000010,Fenland,95996,1171,1011,160,4555,4718,-163,914,156,758,-22,96729,547.355333
E07000011,Huntingdonshire,171023,2047,1333,714,7959,7490,469,634,628,6,-156,172056,912.5499
E07000012,South Cambridgeshire,151068,1769,1103,666,9574,9089,485,732,527,205,-992,151432,901.687131
E10000012,Essex,1406517,16515,13343,3172,46206,40676,5530,5358,3972,1386,-200,1416405,3471.750313
E07000066,Basildon,176474,2457,1524,933,7601,6685,916,401,352,49,-10,178362,110.445916
E07000067,Braintree,148384,1720,1362,358,6618,6329,289,348,296,52,25,149108,611.707979
E07000068,Brentwood,74020,835,689,146,4017,3687,330,226,269,-43,7,74460,153.124055
E07000069,Castle Point,88218,861,1022,-161,3935,3442,493,94,83,11,9,88570,63.175719
E07000070,Chelmsford,169335,1905,1403,502,7820,7531,289,708,515,193,-63,170256,342.997296
E07000071,Colchester,176008,2307,1454,853,9119,8972,147,1908,1210,698,-80,177626,346.713299
E07000072,Epping Forest,126080,1606,1158,448,7217,6758,459,396,218,178,5,127170,338.984113
E07000073,Harlow,82676,1367,672,695,3327,3641,-314,562,243,319,-4,83372,30.537915
E07000074,Maldon,61918,537,567,-30,2871,2627,244,113,91,22,12,62166,426.688528
E07000075,Rochford,83869,755,791,-36,3813,3554,259,92,90,2,-183,83911,263.411087
E07000076,Tendring,138285,1287,2075,-788,6241,4895,1346,249,373,-124,2,138721,365.812071
E07000077,Uttlesford,81250,878,626,252,5061,3989,1072,261,232,29,80,82683,641.182803
E10000015,Hertfordshire,1129096,14470,9375,5095,48583,43835,4748,6237,4552,1685,82,1140706,1643.019069
E07000095,Broxbourne,94497,1248,754,494,4477,4582,-105,362,274,88,11,94985,51.435486
E07000096,Dacorum,146727,1885,1279,606,7256,6596,660,576,389,187,16,148196,212.476382
E07000242,East Hertfordshire,139458,1561,1098,463,7991,7168,823,651,316,335,-3,141076,0
E07000098,Hertsmere,100710,1268,888,380,6477,6220,257,418,496,-78,2,101271,101.155404
E07000099,North Hertfordshire,128428,1605,1247,358,7206,6524,682,338,485,-147,-3,129318,375.37477
E07000240,St Albans,141899,1854,1047,807,8198,7655,543,635,798,-163,8,143094,0
E07000243,Stevenage,84798,1191,672,519,3809,3719,90,294,240,54,13,85474,0
E07000102,Three Rivers,88801,1027,793,234,5605,5057,548,282,382,-100,12,89495,88.817822
E07000103,Watford,91732,1494,718,776,6905,5843,1062,723,558,165,1,93736,21.424963
E07000241,Welwyn Hatfield,112046,1337,879,458,8106,7918,188,1958,614,1344,25,114061,0
E10000020,Norfolk,865302,9430,9404,26,25553,22459,3094,5192,2461,2731,-1007,870146,5381.595046
E07000143,Breckland,131857,1491,1442,49,6412,5714,698,748,332,416,-433,132587,1305.116646
E07000144,Broadland,125215,1138,1409,-271,6200,5683,517,202,169,33,5,125499,553.244209
E07000145,Great Yarmouth,97570,1113,1181,-68,3509,3570,-61,527,177,350,5,97796,182.333299
E07000146,King's Lynn and West Norfolk,148628,1696,1713,-17,5728,5151,577,667,492,175,-605,148758,1513.99376
E07000147,North Norfolk,101790,806,1405,-599,4668,4078,590,413,169,244,18,102043,991.440431
E07000148,Norwich,134264,1884,1072,812,10730,11494,-764,2367,801,1566,15,135893,40.554176
E07000149,South Norfolk,125978,1302,1182,120,7591,6054,1537,268,321,-53,-12,127570,908.906494
E10000029,Suffolk,732332,8028,7308,720,22549,19248,3301,2584,3845,-1261,806,735898,3801.713264
E07000200,Babergh,87917,758,871,-113,4610,3982,628,243,407,-164,21,88289,612.041216
E07000201,Forest Heath,60735,1023,497,526,3418,2576,842,346,542,-196,1357,63264,377.710778
E07000202,Ipswich,134466,1939,1147,792,5862,6379,-517,858,938,-80,32,134693,40.300136
E07000203,Mid Suffolk,97611,918,942,-24,4963,4334,629,189,372,-183,-60,97973,871.07064
E07000204,St Edmundsbury,111610,1173,1012,161,5033,4777,256,389,505,-116,-599,111312,656.964998
E07000205,Suffolk Coastal,124323,995,1421,-426,5872,5013,859,344,747,-403,52,124405,920.713731
E07000206,Waveney,115670,1222,1418,-196,4350,3746,604,215,334,-119,3,115962,374.786461
E12000007,LONDON,8308369,131011,48078,82933,196571,251599,-55028,170042,90524,79518,743,8416535,1594.706366
E09000007,Camden,224962,2861,1144,1717,20254,21990,-1736,11010,6266,4744,32,229719,21.807902
E09000001,City of London,7604,71,27,44,628,821,-193,624,431,193,0,7648,2.899622
E09000012,Hackney,252119,4507,1055,3452,18866,19105,-239,4859,2838,2021,26,257379,19.056242
E09000013,Hammersmith and Fulham,179850,2599,880,1719,15634,18577,-2943,5024,4983,41,18,178685,16.3835
E09000014,Haringey,258912,4150,1068,3082,19699,23191,-3492,6777,1917,4860,24,263386,29.603909
E09000019,Islington,211047,2945,1051,1894,19543,20669,-1126,7477,3629,3848,4,215667,14.832808
E09000020,Kensington and Chelsea,155930,1909,809,1100,10391,11667,-1276,4437,4607,-170,10,155594,12.135097
E09000022,Lambeth,310200,4645,1366,3279,29059,31792,-2733,7471,4204,3267,229,314242,26.797941
E09000023,Lewisham,281556,4951,1545,3406,21187,22382,-1195,4263,1856,2407,6,286180,35.188843
E09000025,Newham,314084,6260,1280,4980,17706,25713,-8007,11324,4173,7151,19,318227,36.200592
E09000028,Southwark,293530,4908,1288,3620,25267,27520,-2253,8241,4700,3541,26,298464,28.845351
E09000030,Tower Hamlets,263003,4805,1018,3787,21205,22137,-932,12018,5005,7013,19,272890,19.766789
E09000032,Wandsworth,308312,5269,1531,3738,29762,31386,-1624,6202,6100,102,-12,310516,34.269845
E09000033,Westminster,223858,2832,1108,1724,16646,22984,-6338,13549,6003,7546,51,226841,21.460754
E09000002,Barking and Dagenham,190560,3866,1235,2631,12354,12612,-258,2272,869,1403,16,194352,36.108154
E09000003,Barnet,363956,5286,2371,2915,20664,22396,-1732,6102,2190,3912,37,369088,86.799656
E09000004,Bexley,234271,2972,1934,1038,11435,10590,845,969,453,516,17,236687,60.597449
E09000005,Brent,314660,5170,1689,3481,17319,22241,-4922,8326,4305,4021,24,317264,43.223362
E09000006,Bromley,314036,3981,2547,1434,17034,14988,2046,1339,991,348,35,317899,150.125304
E09000008,Croydon,368886,5747,2401,3346,19199,19823,-624,3292,2151,1141,3,372752,86.535667
E09000009,Ealing,340671,5687,1873,3814,20260,24664,-4404,6941,4558,2383,30,342494,55.53862
E09000010,Enfield,317287,4966,1997,2969,16223,17899,-1676,3032,1099,1933,11,320524,82.17133
E09000011,Greenwich,260068,4564,1538,3026,17640,18511,-871,3872,2054,1818,-33,264008,47.305863
E09000015,Harrow,242377,3620,1449,2171,13300,15652,-2352,2869,1716,1153,23,243372,50.44349
E09000016,Havering,239733,2926,2335,591,10930,9460,1470,730,459,271,15,242080,112.341852
E09000017,Hillingdon,281756,4390,1843,2547,16530,16827,-297,4363,1530,2833,-33,286806,115.725969
E09000018,Hounslow,259052,4512,1436,3076,15313,18065,-2752,4689,1695,2994,37,262407,55.972288
E09000021,Kingston upon Thames,163906,2213,1097,1116,12281,12334,-53,2865,1038,1827,-3,166793,37.275509
E09000024,Merton,202225,3474,1217,2257,15100,16559,-1459,2858,2681,177,23,203223,37.62857
E09000026,Redbridge,284617,4706,1805,2901,17492,18805,-1313,3847,1798,2049,18,288272,56.412461
E09000027,Richmond upon Thames,189145,2826,1278,1548,13779,13283,496,1636,1497,139,37,191365,57.369267
E09000029,Sutton,193630,2639,1461,1178,10330,9574,756,941,611,330,20,195914,43.835898
E09000031,Waltham Forest,262566,4754,1402,3352,14644,18484,-3840,5823,2117,3706,13,265797,38.822009
E12000008,SOUTH EAST,8724737,104505,78016,26489,232608,207754,24854,60066,43936,16130,416,8792626,19405.20755
E06000036,Bracknell Forest,115058,1534,700,834,6647,6285,362,735,449,286,27,116567,109.344456
E06000043,Brighton and Hove,275762,3096,2128,968,17710,19040,-1330,5583,2870,2713,-1,278112,82.688429
E06000046,Isle of Wight,138748,1269,1835,-566,4268,3625,643,351,381,-30,-402,138393,380.213915
E06000035,Medway,268218,3512,2060,1452,11639,10666,973,1141,834,307,155,271105,193.47848
E06000042,Milton Keynes,252358,3861,1699,2162,11110,9747,1363,1561,1783,-222,31,255692,308.636541
E06000044,Portsmouth,206836,2755,1694,1061,10832,12535,-1703,2432,1110,1322,-56,207460,40.392217
E06000038,Reading,157112,2725,1146,1579,12372,12877,-505,2729,1714,1015,46,159247,40.384054
E06000039,Slough,141838,2659,793,1866,5926,7285,-1359,1454,790,664,15,143024,32.534139
E06000045,Southampton,239428,3328,1887,1441,14838,16872,-2034,4527,1265,3262,44,242141,49.888742
E06000037,West Berkshire,154486,1851,1193,658,8056,7556,500,597,947,-350,98,155392,704.15083
E06000040,Windsor and Maidenhead,145822,1702,1193,509,8567,8737,-170,976,894,82,92,146335,198.433013
E06000041,Wokingham,156663,1912,1196,716,9905,9399,506,894,865,29,-48,157866,178.975961
E10000002,Buckinghamshire,511488,6009,3903,2106,23977,21761,2216,2825,2512,313,-27,516096,1564.986173
E07000004,Aylesbury Vale,177793,2163,1304,859,9523,7877,1646,1370,661,709,64,181071,902.753208
E07000005,Chiltern,92954,854,713,141,5474,5159,315,306,472,-166,6,93250,196.348234
E07000006,South Bucks,67435,780,646,134,4888,4326,562,321,494,-173,-17,67941,141.265512
E07000007,Wycombe,173306,2212,1240,972,8855,9162,-307,828,885,-57,-80,173834,324.572076
E10000011,East Sussex,531201,5327,6419,-1092,20598,16153,4445,2014,2157,-143,-9,534402,1712.681344
E07000061,Eastbourne,100049,1151,1358,-207,5804,5260,544,641,487,154,-3,100537,45.529026
E07000062,Hastings,90345,1222,962,260,4353,4161,192,418,471,-53,10,90754,30.831893
E07000063,Lewes,98690,931,1112,-181,5581,4465,1116,268,372,-104,-42,99479,294.389326
E07000064,Rother,91088,730,1369,-639,5326,4598,728,240,367,-127,4,91054,518.153207
E07000065,Wealden,151029,1293,1618,-325,8610,6745,1865,447,460,-13,22,152578,836.265345
E10000014,Hampshire,1330153,14817,12213,2604,50424,45384,5040,4556,5207,-651,584,1337730,3678.884902
