code,name,previous,births,deaths,natural change,Internal Inflow,Internal Outflow,Internal Net,International Inflow,International Outflow,International Net,Other,now,area
K02000001,UNITED KINGDOM,63705030,792360,580285,212075,,,5,503723,320363,183360,5184,64105654,0
K03000001,GREAT BRITAIN,61881396,767833,565317,202516,,,1456,490987,306740,184247,6314,62275929,0
K04000001,ENGLAND AND WALES,56567796,710990,509383,201607,46819,53225,-6406,462787,280640,182147,3085,56948229,0
E92000001,ENGLAND,53493729,676586,476805,199781,98692,104433,-5741,449062,274226,174836,3212,53865817,0
E12000001,NORTH EAST,2602310,29646,27023,2623,41470,42900,-1430,13097,6513,6584,394,2610481,8676.337252
E06000047,County Durham,514348,5598,5689,-91,16290,15697,593,1862,835,1027,80,515957,2231.581824
E06000005,Darlington,105248,1304,1078,226,3627,3653,-26,238,309,-71,19,105396,197.474391
E06000001,Hartlepool,92238,1083,911,172,2312,2220,92,269,126,143,20,92665,93.899714
E06000002,Middlesbrough,138744,2037,1403,634,6016,7094,-1078,1051,433,618,21,138939,53.861835
E06000057,Northumberland,316116,2950,3536,-586,9005,8690,315,437,599,-162,123,315806,5026.208641
E06000003,Redcar and Cleveland,134998,1594,1463,131,3951,4171,-220,150,121,29,7,134945,244.915897
E06000004,Stockton-on-Tees,192406,2462,1677,785,6347,6544,-197,746,574,172,30,193196,203.91992
E11000007,Tyne and Wear (Met County),1108212,12618,11266,1352,28507,29416,-909,8344,3516,4828,94,1113577,0
E08000037,Gateshead,200153,2261,2152,109,6792,7224,-432,586,445,141,27,199998,142.347127
E08000021,Newcastle upon Tyne,282442,3427,2351,1076,18892,18945,-53,5407,2052,3355,1,286821,113.433048
E08000022,North Tyneside,201446,2319,2146,173,7369,6944,425,447,376,71,37,202152,82.358663
E08000023,South Tyneside,148428,1629,1705,-76,3451,3414,37,287,154,133,4,148526,64.454306
E08000024,Sunderland,275743,2982,2912,70,6504,7390,-886,1617,489,1128,25,276080,137.392602
E12000002,NORTH WEST,7084337,87172,69770,17402,106617,115123,-8506,40327,30569,9758,269,7103260,14919.4538
E06000008,Blackburn with Darwen,147713,2277,1234,1043,4499,5771,-1272,654,779,-125,10,147369,137.05724
E06000009,Blackpool,141976,1768,1853,-85,7916,8326,-410,416,512,-96,15,141400,34.880969
E06000049,Cheshire East,372146,3871,3715,156,13643,13239,404,1295,1347,-52,53,372707,1166.349287
E06000050,Cheshire West and Chester,330200,3631,3267,364,12924,12384,540,1192,1211,-19,-59,331026,916.660543
E06000006,Halton,125692,1652,1233,419,3469,3569,-100,177,234,-57,16,125970,79.108494
E06000007,Warrington,203652,2376,1944,432,6962,6301,661,932,640,292,72,205109,180.675616
E10000006,Cumbria,499104,4895,5584,-689,11426,11579,-153,1253,1443,-190,-2,498070,6822.225392
E07000026,Allerdale,96268,912,1133,-221,2780,2620,160,158,174,-16,17,96208,1320.563643
E07000027,Barrow-in-Furness,68446,743,760,-17,1450,1933,-483,90,152,-62,-53,67831,132.069768
E07000028,Carlisle,107952,1171,1130,41,3573,3575,-2,299,344,-45,3,107949,1054.369927
E07000029,Copeland,70329,779,804,-25,1683,1914,-231,87,159,-72,18,70019,775.821386
E07000030,Eden,52656,477,547,-70,2199,2158,41,143,165,-22,2,52607,2156.4745
