code,name,pop,employ,employRate,unemploy,unemployRate,inactivty,inactivityRate,claimantRate,jobs,density
K02000001,UNITED KINGDOM,40915160,29894472,71.6,2305364,7.2,9161525,22.7,3.3,31957000,0.78
K03000001,GREAT BRITAIN,39747176,29087490,71.7,2246785,7.2,8840048,22.6,3.2,31132000,0.78
E92000001,ENGLAND,34351400,25212411,71.9,1939063,7.1,7599299,22.5,3.1,27117000,0.79
E12000001,NORTH EAST,1667446,1171144,67.3,126835,9.8,429339,25.3,4.7,1122000,0.67
E06000047,County Durham,328615,225620,66.2,22276.09296367,9.0,87071,26.3,4.0,180000,0.55
E06000005,Darlington,65594,48481,74.3,4825.4701236,9.1,11565,18.3,4.8,55000,0.84
E06000001,Hartlepool,58285,37253,62.3,5841.942729,13.6,15750,27.0,7.0,30000,0.52
E06000002,Middlesbrough,89143,60226,62.4,8909.3626679,12.9,27224,28.6,7.3,66000,0.74
E06000057,Northumberland,193864,147080,74.1,11487.13953544,7.2,40719,21.3,3.7,117000,0.60
E06000003,Redcar and Cleveland,82830,58192,67.5,6685.839652,10.3,20951,25.0,5.8,45000,0.54
E06000004,Stockton-on-Tees,123314,88448,70.2,9308.9786774,9.5,27557,22.5,5.1,85000,0.69
E11000007,Tyne and Wear,725801,505844,66.0,57500,10.2,198502,26.4,4.7,543000,0.75
E08000037,Gateshead,127660,87617,69.5,8130.8960256,8.5,31322,25.2,4.4,97000,0.76
E08000021,Newcastle upon Tyne,196738,130619,60.6,15735.499198,10.8,68495,32.3,4.4,191000,0.99
E08000022,North Tyneside,128569,91895,69.1,8776.6753539,8.7,31616,24.3,4.0,79000,0.61
E08000023,South Tyneside,94594,70921,69.1,8952.9424308,11.2,22327,22.2,6.5,49000,0.52
E08000024,Sunderland,178240,124792,66.0,15906.648217,11.3,44742,24.2,4.8,127000,0.71
E12000002,NORTH WEST,4516101,3156348,69.0,269061,7.9,1108298,25.0,3.7,3398000,0.75
E06000008,Blackburn with Darwen,92993,55190,63.0,5224.3912077,8.6,27469,31.9,4.0,67000,0.72
