code,name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
K02000001,United Kingdom,59113016,59365677,59636662,59950364,60413276,60827067,61319075,61823772,62260486,62759456,63285145,63705030,64105654
K03000001,Great Britain,57424178,57668143,57931738,58236322,58685543,59083954,59557392,60044620,60467153,60954623,61470827,61881396,62275929
K04000001,England and Wales,52359978,52602143,52863238,53152022,53575343,53950854,54387392,54841720,55235253,55692423,56170927,56567796,56948229
E92000001,England,49449746,49679267,49925517,50194600,50606034,50965186,51381093,51815853,52196381,52642452,53107169,53493729,53865817
E12000001,North East,2540090,2540600,2540461,2540502,2547127,2552568,2562045,2569312,2575441,2586868,2596441,2602310,2610481
E06000047,County Durham,493678,493538,493931,495147,497218,499348,502960,505617,507311,510628,512994,514348,515957
E06000005,Darlington,97894,98474,98911,99343,100287,101509,102632,103694,104355,105028,105584,105248,105396
E06000001,Hartlepool,90152,89993,90134,90317,90457,90781,90969,91379,91530,91773,92088,92238,92665
E06000002,Middlesbrough,141233,140090,139050,138451,138517,138169,138190,137885,137273,137667,138368,138744,138939
E06000057,Northumberland,307363,308499,309448,310140,310752,311375,312960,314057,314489,315463,316278,316116,315806
E06000003,Redcar and Cleveland,139159,138520,138565,138643,138177,137621,136940,136512,135867,135383,135164,134998,134945
E06000004,Stockton-on-Tees,183795,184940,185699,185687,186350,187270,187937,189039,189978,190902,191824,192406,193196
E11000007,Tyne and Wear,1086816,1086546,1084723,1082774,1085369,1086495,1089457,1091129,1094638,1100024,1104141,1108212,1113577
E08000037,Gateshead,191178,191559,192115,192317,192857,193615,194934,196078,197481,198731,200349,200153,199998
E08000021,Newcastle upon Tyne,266241,267001,266862,266884,269608,270258,271577,271649,273422,276681,279092,282442,286821
E08000022,North Tyneside,192003,192739,193037,193195,194120,195365,196470,197964,199017,200164,201206,201446,202152
E08000023,South Tyneside,152793,152210,151181,150265,149585,148887,148642,148626,148509,148468,148164,148428,148526
E08000024,Sunderland,284601,283037,281528,280113,279199,278370,277834,276812,276209,275980,275330,275743,276080
E12000002,North West,6772985,6784880,6814660,6840369,6870021,6901585,6929277,6958547,6986156,7019921,7055961,7084337,7103260
E06000008,Blackburn with Darwen,138453,139538,140429,141418,142145,143110,143942,144902,146197,146966,147657,147713,147369
E06000009,Blackpool,142270,142164,142658,143143,143688,143733,143644,142921,142578,142753,142080,141976,141400
E06000049,Cheshire East,352104,353348,355529,357354,359807,362049,365003,367160,368023,369051,370736,372146,372707
E06000050,Cheshire West and Chester,322154,322657,324378,325496,327169,328358,329364,329353,329116,329553,329526,330200,331026
E06000006,Halton,118559,118788,119178,119960,120396,121275,122040,122907,123636,124802,125722,125692,125970
E06000007,Warrington,191202,191615,191987,191837,192992,194603,196559,198187,200057,201309,202709,203652,205109
E10000006,Cumbria,487795,488681,491329,494918,497040,498813,500779,500916,500786,500165,499817,499104,498070
E07000026,Allerdale,93544,93816,94559,94846,95035,95279,95880,96186,96377,96301,96444,96268,96208
E07000027,Barrow-in-Furness,71960,71340,70914,70845,70545,70267,70034,69844,69776,69429,69056,68446,67831
E07000028,Carlisle,100764,101721,102777,104412,105562,106707,107293,107178,106966,106985,107475,107952,107949
E07000029,Copeland,69251,69095,69273,69750,69899,70329,70677,70789,70662,70629,70627,70329,70019
E07000030,Eden,49879,50276,50878,51393,51698,51891,52211,52427,52595,52678,52502,52656,52607
E07000031,South Lakeland,102397,102433,102928,103672,104301,104340,104684,104492,104410,104143,103713,103453,103456
E11000001,Greater Manchester,2516096,2523214,2538555,2549752,2564055,2582260,2598619,2620007,2639833,2661841,2685386,2702209,2714944
E08000001,Bolton,261302,262367,263814,264511,265016,266816,268319,270497,273049,275168,277296,278984,280057
E08000002,Bury,180655,181084,181405,180999,181028,181809,182713,183000,183885,184755,185422,186199,186527
E08000003,Manchester,422915,428221,436727,444925,455745,463749,470538,477408,483784,492598,502902,510772,514417
E08000004,Oldham,218537,218455,218490,218988,219288,220033,220723,221907,222811,223807,225157,225875,227312
E08000005,Rochdale,206440,206697,207528,207286,207200,207845,208393,209666,210248,210758,211929,212020,212120
E08000006,Salford,216978,216310,217312,217921,219536,221931,223468,226782,228948,231837,234487,237085,239013
E08000007,Stockport,284557,283502,282932,282368,281195,280498,280953,281477,282263,282614,283253,283897,285032
E08000008,Tameside,213087,213211,213470,213667,213474,214187,214750,216360,217417,218774,219727,220241,220597
E08000009,Trafford,210172,211062,213031,214129,215430,217369,219359,220939,223065,225234,227091,228466,230179
E08000010,Wigan,301453,302305,303846,304958,306143,308023,309403,311971,314363,316296,318122,318670,319690
E10000017,Lancashire,1136542,1138374,1144581,1149463,1154308,1159140,1161832,1163352,1164141,1167579,1171558,1175979,1180076
E07000117,Burnley,89521,88842,88282,87923,87624,87646,87256,87328,87027,86902,87032,87127,86894
E07000118,Chorley,100559,101142,102003,102778,103279,103807,104362,105396,105682,106443,107591,109077,110505
E07000119,Fylde,73340,73658,74212,74667,74841,74824,75305,75230,75441,75610,76098,76020,76442
E07000120,Hyndburn,81495,81233,81408,81280,81311,81491,81453,81176,81003,80876,80549,80190,80046
E07000121,Lancaster,134049,133628,134635,135472,136764,136682,136235,135812,136013,137120,137823,139665,140575
E07000122,Pendle,89277,88830,88559,88330,88312,88788,88819,89005,89287,89234,89576,89613,90131
E07000123,Preston,130372,131110,132685,134410,136200,137784,138470,138443,137956,138831,140054,140540,140418
E07000124,Ribble Valley,54053,54659,55400,56054,56358,56664,56986,57158,57004,57218,57292,57596,57858
E07000125,Rossendale,65647,65556,65729,65623,65872,66199,66623,67063,67479,67824,68053,68366,68744
E07000126,South Ribble,103949,104522,105149,105578,105753,106512,107128,107830,108609,108846,109181,108971,108913
E07000127,West Lancashire,108480,108750,109273,109588,109806,110308,110720,110666,110583,110763,110617,110925,111314
E07000128,Wyre,105800,106444,107246,107760,108188,108435,108475,108245,108057,107912,107692,107889,108236
E11000002,Merseyside,1367810,1366501,1366036,1367028,1368421,1368244,1367495,1368842,1371789,1375902,1380770,1385666,1386589
E08000011,Knowsley,151238,150506,149795,149216,148900,148788,148188,147822,147070,146398,145903,145936,146086
E08000012,Liverpool,441858,443784,444960,448091,452278,453055,453582,454468,457523,461403,465656,469690,470780
E08000014,Sefton,282884,280866,279913,278853,276957,275852,275085,274735,274153,273820,273969,273697,273207
E08000013,St. Helens,176826,176295,175997,175738,175361,175199,174970,175106,175272,175203,175405,176114,176221
E08000015,Wirral,315004,315050,315371,315130,314925,315350,315670,316711,317771,319078,319837,320229,320295
E12000003,Yorkshire & Humber,4976643,5000111,5026314,5063199,5108408,5134016,5164138,5198675,5223344,5254788,5288212,5316691,5337710
E06000011,East Riding of Yorkshire,314854,318633,321869,325117,327268,328587,330865,332464,332748,333599,334673,335887,336007
E06000010,"Kingston upon Hull, City of",249913,249463,250604,253049,255159,255497,255761,256746,256079,256174,256123,257204,257589
E06000012,North East Lincolnshire,157951,158003,158373,158542,158725,158610,158589,158708,158689,158951,159735,159727,159827
E06000013,North Lincolnshire,152964,154240,156196,158211,159679,161163,162801,164519,165572,166539,167516,168372,168760
E06000014,York,181291,182088,183960,186643,188214,188977,189770,190768,192398,195070,197783,200018,202433
E10000023,North Yorkshire,570094,573186,576130,579959,584001,587299,591247,594979,596396,599028,601206,602628,602749
