code,name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
E07000163,Craven,53706,53770,54060,54412,54888,55086,55395,55586,55326,55398,55459,55457,55540
E07000164,Hambleton,84168,84844,85336,85598,85972,86995,87748,88482,88645,89096,89602,89748,89913
E07000165,Harrogate,151467,151549,151821,152518,153673,154270,155068,155843,156511,157531,158683,158610,158249
E07000166,Richmondshire,47067,47798,48465,49399,50351,51003,51626,52125,52440,52877,53287,53935,53884
E07000167,Ryedale,50910,50847,51196,51613,51948,51851,52078,52100,52157,51949,51893,52102,52212
E07000168,Scarborough,106221,107246,107862,108548,108753,108728,108813,109015,108943,109014,108735,108632,108223
E07000169,Selby,76555,77132,77390,77871,78416,79366,80519,81828,82374,83163,83547,84144,84728
E11000003,South Yorkshire,1266475,1271309,1276501,1283439,1293188,1299676,1306289,1315448,1323855,1332871,1343805,1352144,1358153
E08000016,Barnsley,218124,218851,220165,221227,222618,224419,225989,227754,228973,230066,231865,233671,235757
E08000017,Doncaster,286900,288647,290111,290850,292174,293990,296215,298388,300184,301299,302468,302739,303622
E08000018,Rotherham,248349,249610,250886,251722,252675,253638,254180,255271,256313,256893,257716,258352,258689
E08000019,Sheffield,513102,514201,515339,519640,525721,527629,529905,534035,538385,544613,551756,557382,560085
E11000006,West Yorkshire,2083101,2093189,2102681,2118239,2142174,2154207,2168816,2185043,2197607,2212556,2227371,2240711,2252192
E08000032,Bradford,470753,475184,479166,484650,491361,495658,501357,507323,512392,518002,523115,524619,526369
E08000033,Calderdale,192379,193201,193968,194980,196270,197761,199275,200960,202078,203049,204170,205293,206355
E08000034,Kirklees,388980,392118,394486,397530,400724,404266,407974,411807,414785,418339,422970,425517,428279
E08000035,Leeds,715609,716380,717592,723042,735054,736204,738560,741665,743885,747571,750683,757655,761481
E08000036,Wakefield,315380,316306,317469,318037,318765,320318,321650,323288,324467,325595,326433,327627,329708
E12000004,East Midlands,4189622,4221753,4255080,4291476,4329112,4366676,4404774,4441125,4471653,4507071,4537448,4567731,4598729
E06000015,Derby,230726,231979,232827,234501,236470,238110,239917,241865,243980,247035,248943,250568,251423
E06000016,Leicester,282757,285295,288648,294127,301543,306548,311303,315473,319708,324912,329627,331606,333812
E06000018,Nottingham,268939,271769,275547,279624,284834,286459,288164,290783,294808,299753,303899,308735,310837
E06000017,Rutland,34598,35295,35559,35623,36115,36510,37110,37478,37417,37670,37581,37015,37606
E10000007,Derbyshire,734888,738409,742242,745470,749009,752649,756594,761238,764317,767948,770688,773522,776160
E07000032,Amber Valley,116560,117265,117898,118421,119152,120038,120436,121170,121532,122081,122521,122746,123498
E07000033,Bolsover,71887,72527,73343,73601,73844,74347,74822,75058,75224,75691,76029,76447,76729
E07000034,Chesterfield,98832,99256,99929,100545,101277,101674,102027,102609,103037,103417,103788,103782,104030
E07000035,Derbyshire Dales,69418,69392,69368,69536,69509,69526,69850,70450,70705,71030,71104,71336,71266
E07000036,Erewash,110126,110250,110080,110068,110102,109979,110184,110809,111283,111739,112249,112809,113170
E07000037,High Peak,89400,89323,89185,89261,89627,90050,90553,90858,91047,91063,90982,91118,91111
E07000038,North East Derbyshire,96927,96916,97127,97532,97666,97740,98067,98261,98474,98832,99100,99325,99281
E07000039,South Derbyshire,81738,83480,85312,86506,87832,89295,90655,92023,93015,94095,94915,95959,97075
E10000018,Leicestershire,610279,614065,617968,622134,624852,629556,634555,639236,642255,646292,651179,656698,661575
E07000129,Blaby,90361,91225,91592,91664,91721,92266,92741,93341,93511,93935,94132,94593,95092
E07000130,Charnwood,153554,153431,153664,154740,155768,157153,158667,160509,162330,164346,165876,168779,170645
E07000131,Harborough,76818,78226,79118,79860,80486,81492,82593,83417,84132,84849,85699,86389,87450
E07000132,Hinckley and Bosworth,100202,100482,101210,101953,102431,102996,103450,104179,104473,104734,105328,106046,106613
E07000133,Melton,47875,48080,48429,48618,48605,48724,49153,49287,49481,50077,50495,50770,50836
E07000134,North West Leicestershire,85678,86842,87794,88845,89623,90406,91476,92283,92728,93165,93670,94018,94814
E07000135,Oadby and Wigston,55791,55779,56161,56454,56218,56519,56475,56220,55600,55186,55979,56103,56125
E10000019,Lincolnshire,647640,655580,663197,672415,677324,685414,693739,700780,705599,711805,714768,718838,724453
E07000136,Boston,55802,56391,56975,58090,58551,59770,61036,62176,63399,64475,64615,64793,65870
E07000137,East Lindsey,130654,132144,133218,134889,135473,135960,136939,137466,137140,137251,136683,136596,136711
E07000138,Lincoln,85584,85669,86405,87746,88603,89433,89873,90207,90813,92188,93085,94588,95623
E07000139,North Kesteven,94378,96898,98593,99943,100710,102275,103844,105495,106456,107478,108518,109263,109906
E07000140,South Holland,76714,77918,79299,80832,81696,83158,84506,85957,86987,87905,88390,88518,89243
E07000141,South Kesteven,124877,125485,126209,127129,127665,128966,130196,131218,132188,133144,134125,135033,136385
E07000142,West Lindsey,79631,81075,82498,83786,84626,85852,87345,88261,88616,89364,89352,90047,90715
E10000021,Northamptonshire,630986,636780,642666,646616,654450,663603,672062,678201,683464,688011,693967,700576,706647
E07000150,Corby,53407,53427,53525,53751,54497,55410,56789,57921,59035,60124,61607,63073,64212
E07000151,Daventry,72045,73330,74652,75100,75747,76532,76951,77118,77700,77725,78070,78281,78556
E07000152,East Northamptonshire,76835,78066,79893,80932,81875,83324,84765,85551,85929,86342,86869,87365,87969
E07000153,Kettering,82304,83189,84581,85644,86644,87974,89863,91194,92123,92910,93846,94841,95748
E07000154,Northampton,194351,194448,194796,194717,196807,200360,203014,205579,207875,210084,212492,214566,216739
E07000155,South Northamptonshire,79497,81345,82241,83293,84884,85543,85942,85757,85693,85647,85446,86350,87465
E07000156,Wellingborough,72547,72975,72978,73179,73996,74460,74738,75081,75109,75179,75637,76100,75958
E10000024,Nottinghamshire,748809,752581,756426,760966,764515,767827,771330,776071,780105,783645,786796,790173,796216
E07000170,Ashfield,111477,112488,113048,114105,115020,115704,116301,116971,117875,118566,119522,120131,121553
E07000171,Bassetlaw,107843,108451,109276,110017,110488,110876,111314,112106,112563,112924,113003,113178,113654
E07000172,Broxtowe,107481,107832,107822,108085,108290,108254,108272,108730,109217,109252,109749,110716,111243
E07000173,Gedling,111812,111943,111684,111847,111919,111699,111924,112293,112688,113066,113741,114052,114818
E07000174,Mansfield,98065,98367,99250,99706,100413,101347,102139,103269,103711,104120,104551,104737,105296
E07000175,Newark and Sherwood,106351,106954,108359,109776,110553,111534,112471,113309,113914,114596,114982,115761,116817
E07000176,Rushcliffe,105780,106546,106987,107430,107832,108413,108909,109393,110137,111121,111248,111598,112835
E12000005,West Midlands,5280727,5301243,5325475,5346376,5380687,5415521,5451924,5496240,5528007,5565866,5608667,5642569,5674712
E06000019,"Herefordshire, County of",174885,175258,175648,176033,176587,178103,179930,181791,182367,182865,183619,184932,186087
E06000051,Shropshire,283254,284901,286913,288810,291523,294531,297633,300473,302069,304523,307108,308207,308567
E06000021,Stoke-on-Trent,240422,239955,240031,241078,241481,243069,243697,245509,245869,247381,248719,249903,250227
E06000020,Telford and Wrekin,158573,159401,159848,160603,161535,162710,163368,164089,164889,165641,166831,167682,168452
E10000028,Staffordshire,807152,810199,815228,818563,822713,827321,833122,838142,841270,845272,849546,852123,857007
E07000192,Cannock Chase,92165,93000,93751,94179,94772,94991,95391,95999,96514,96898,97582,97940,98119
E07000193,East Staffordshire,103938,104487,106065,106800,107609,108466,109776,111191,112033,112979,113858,114388,114922
E07000194,Lichfield,93229,93679,94467,95580,96307,97432,98528,99490,100012,100424,100911,101186,101768
E07000195,Newcastle-under-Lyme,122015,122165,122657,123076,123170,123191,123526,123213,123073,123351,123878,124183,125239
E07000196,South Staffordshire,105942,106013,106300,106300,106428,106655,107144,107501,107561,108050,108318,108441,110295
E07000197,Stafford,120712,121409,122447,123224,124361,125620,127055,128320,129041,130001,130895,131630,132092
E07000198,Staffordshire Moorlands,94555,94927,94997,94980,95342,95888,96295,96604,96781,96987,97209,97237,97415
E07000199,Tamworth,74596,74519,74544,74424,74724,75078,75407,75824,76255,76582,76895,77118,77157
E10000031,Warwickshire,506193,510691,515056,518637,523653,529059,534381,539384,542131,544166,546554,547974,548729
E07000218,North Warwickshire,61788,61825,61749,61769,61894,61920,61839,61968,62124,62066,62089,62200,62124
E07000219,Nuneaton and Bedworth,119239,119625,120541,120668,121048,121787,122661,123868,124330,124759,125409,125805,126003
E07000220,Rugby,87520,88653,89050,89998,91321,93051,94748,96434,97662,99035,100496,100751,101373
E07000221,Stratford-on-Avon,111551,112258,112992,113483,114823,116708,118478,119666,119826,120191,120824,120578,120767
E07000222,Warwick,126095,128330,130724,132719,134567,135593,136655,137448,138189,138115,137736,138640,138462
E11000005,West Midlands,2568015,2576364,2585480,2593992,2611863,2626028,2641758,2666062,2687116,2711938,2739733,2762716,2783475
E08000025,Birmingham,984642,990384,996356,1002376,1014650,1020843,1029021,1038980,1050072,1061074,1074283,1085417,1092330
E08000026,Coventry,302804,301295,300665,298174,298386,300129,301429,305186,307393,311674,316915,323132,329810
E08000027,Dudley,305052,305645,305585,306171,307004,307846,308686,310377,311088,312206,313261,313589,314427
E08000028,Sandwell,284594,285637,287135,288849,290447,292516,294603,298358,302303,306181,309042,311304,314329
E08000029,Solihull,199574,200028,200536,201153,201557,202351,203170,204778,205470,206329,206856,207380,208861
E08000030,Walsall,253333,254287,255352,256702,258172,259454,260939,263034,264774,266834,269524,270924,272161
E08000031,Wolverhampton,238016,239088,239851,240567,241647,242889,243910,245349,246016,247640,249852,250970,251557
E10000034,Worcestershire,542233,544474,547271,548660,551332,554700,558035,560790,562296,564080,566557,569032,572168
E07000234,Bromsgrove,87904,89021,89984,90516,91046,91734,92563,93097,93444,93507,93732,94285,94744
E07000235,Malvern Hills,72171,72655,72885,73166,73425,73748,74020,74192,74141,74542,74706,74980,75339
E07000236,Redditch,78779,79069,79466,79654,80110,81077,81762,82713,83102,83570,84318,84419,84521
E07000237,Worcester,93369,93446,93873,93843,94470,95024,95532,96416,97117,97655,98679,99604,100405
E07000238,Wychavon,113081,113453,113914,114258,114696,115451,116141,116229,116499,116863,117074,117670,118738
E07000239,Wyre Forest,96929,96830,97149,97223,97585,97666,98017,98143,97993,97943,98048,98074,98421
E12000006,East,5400463,5432688,5474133,5508564,5562653,5606294,5653534,5708350,5751443,5807402,5862418,5907348,5954169
E06000055,Bedford,148113,149589,150684,151308,151747,152346,153107,154164,154808,156535,157840,159207,161382
E06000056,Central Bedfordshire,234006,236297,238547,240444,242062,244351,246803,249035,250329,252460,255644,259969,264528
E06000032,Luton,185889,185631,185016,183563,185392,187312,189742,192084,195449,199583,203641,205843,207989
E06000031,Peterborough,157439,158794,160778,163485,167220,169887,172443,176027,178963,181762,184457,186372,188373
E06000033,Southend-on-Sea,160362,161159,161437,161488,162645,163776,165429,168150,170013,172122,174274,174838,175798
E06000034,Thurrock,143297,144728,145977,147056,148556,150206,151741,153633,155003,156585,158268,159533,160849
E10000003,Cambridgeshire,554704,558916,568743,574445,583651,588890,594338,600808,606238,614899,622312,628339,632095
E07000008,Cambridge,109941,109543,111317,112167,117217,116654,115454,116183,116746,120219,122725,125155,126480
E07000009,East Cambridgeshire,73411,74328,77447,75996,77224,78429,79923,81035,82357,83303,84245,85097,85398
E07000010,Fenland,83687,84676,86296,87983,88968,90647,92713,93653,94404,95135,95461,95996,96729
E07000011,Huntingdonshire,157189,158476,159626,162654,162822,163896,164764,166346,167052,168352,170039,171023,172056
E07000012,South Cambridgeshire,130476,131893,134057,135645,137420,139264,141484,143591,145679,147890,149842,151068,151432
E10000012,Essex,1312599,1319145,1326079,1334632,1345170,1354301,1362888,1373172,1379503,1388913,1396599,1406517,1416405
E07000066,Basildon,165895,166743,167089,167825,168927,169951,170908,172423,173084,173788,174971,176474,178362
E07000067,Braintree,132482,134272,135767,137426,139160,140921,142344,143894,144589,145972,147514,148384,149108
E07000068,Brentwood,68483,68779,69234,69895,70542,71040,71346,71941,72663,73301,73841,74020,74460
E07000069,Castle Point,86673,86866,87237,87207,87462,87576,87776,88020,88122,88115,87964,88218,88570
E07000070,Chelmsford,157269,158686,160360,162505,163570,163879,164381,165047,166208,167441,168491,169335,170256
E07000071,Colchester,156016,156055,157164,158652,162038,163847,165674,167927,169027,171679,173614,176008,177626
E07000072,Epping Forest,120972,121482,121404,121495,121735,122530,122877,123365,123820,124189,124880,126080,127170
E07000073,Harlow,78799,78340,78128,78019,78354,78722,79165,79913,80710,81490,82177,82676,83372
E07000074,Maldon,59589,59750,59996,60303,60662,60993,61398,61660,61815,61845,61720,61918,62166
E07000075,Rochford,78650,79325,79513,80100,80815,81490,82264,83056,83094,83415,83333,83869,83911
E07000076,Tendring,138802,139318,139909,140340,140325,140423,140523,140421,139593,139058,138062,138285,138721
E07000077,Uttlesford,68969,69529,70278,70865,71580,72929,74232,75505,76778,78620,80032,81250,82683
E10000015,Hertfordshire,1035523,1040387,1045337,1047366,1055483,1063202,1072954,1085434,1096599,1107641,1119824,1129096,1140706
E07000095,Broxbourne,87203,87700,87817,87805,88800,89684,90833,91630,92395,93085,93702,94497,94985
E07000096,Dacorum,137843,138118,138413,138403,138633,138973,139527,140802,142205,143651,145298,146727,148196
E07000242,East Hertfordshire,129145,130029,130264,130456,131065,132078,133421,134843,135980,136922,138155,139458,141076
E07000098,Hertsmere,94466,94295,94419,93788,94302,95225,96252,97642,98637,99402,100379,100710,101271
E07000099,North Hertfordshire,117051,117959,119148,120092,120757,121890,122974,124391,125269,126286,127494,128428,129318
E07000240,St Albans,129168,130407,131180,131284,131951,133293,134338,136088,137858,139511,141248,141899,143094
E07000243,Stevenage,79794,80110,80308,80008,80330,80352,80734,81615,82253,83007,84247,84798,85474
E07000102,Three Rivers,82905,83448,83946,83963,84305,84466,85282,86205,87096,87573,87921,88801,89495
E07000103,Watford,80398,80185,80644,81097,82138,82145,82899,84776,86472,88574,90653,91732,93736
E07000241,Welwyn Hatfield,97550,98136,99198,100470,103202,105096,106694,107442,108434,109630,110727,112046,114061
E10000020,Norfolk,798618,803463,810127,815690,822890,829062,834945,841495,846355,852926,859426,865302,870146
E07000143,Breckland,121585,122222,123247,123944,125493,126551,127797,128938,129431,129932,131009,131857,132587
E07000144,Broadland,118814,119391,120333,121039,121637,122412,123242,123387,123819,124483,124740,125215,125499
E07000145,Great Yarmouth,90945,91437,92526,93316,94113,94545,95211,95924,96414,97063,97424,97570,97796
E07000146,King's Lynn and West Norfolk,135565,136831,138272,139621,140959,142790,144274,145551,146428,147134,147936,148628,148758
E07000147,North Norfolk,98495,98723,99121,99374,99638,99907,100338,100887,100556,100780,101664,101790,102043
E07000148,Norwich,122366,122376,122963,123857,125630,126805,126949,128034,129219,130923,132158,134264,135893
E07000149,South Norfolk,110848,112483,113665,114539,115420,116052,117134,118774,120488,122611,124495,125978,127570
E10000029,Suffolk,669913,674579,681408,689087,697837,702961,709144,714348,718183,723976,730133,732332,735898
E07000200,Babergh,83538,84112,85066,85622,85957,86698,86916,87260,87411,87467,87901,87917,88289
E07000201,Forest Heath,56145,56457,57335,57267,58086,57558,57547,57506,57876,58602,60038,60735,63264
E07000202,Ipswich,117156,117818,119210,121175,124028,124753,125471,127387,129320,131729,133729,134466,134693
E07000203,Mid Suffolk,87015,87684,88274,89492,90795,92070,93817,94603,95250,96244,97076,97611,97973
E07000204,St Edmundsbury,98323,99534,100655,102202,103320,104850,106144,107453,108449,110002,111443,111610,111312
E07000205,Suffolk Coastal,115239,115729,116845,118198,119619,121027,123006,123841,123841,124262,124590,124323,124405
E07000206,Waveney,112497,113245,114023,115131,116032,116005,116243,116298,116036,115670,115356,115670,115962
E12000007,Greater London,7322403,7376671,7394817,7432730,7519009,7597825,7693473,7812161,7942594,8061495,8204407,8308369,8416535
E12000007,London,7322403,7376671,7394817,7432730,7519009,7597825,7693473,7812161,7942594,8061495,8204407,8308369,229719
E09000007,Camden,202567,203972,204254,207341,211088,211032,211520,210273,212924,214725,220087,224962,7648
E09000001,City of London,7359,7280,7115,7118,7131,7254,7607,7429,7472,7338,7412,7604,257379
E09000012,Hackney,207246,210961,212405,213581,216512,220193,224480,231041,236622,241739,247182,252119,178685
E09000013,Hammersmith and Fulham,169374,171989,171510,172083,173292,174675,176472,177088,180116,180842,182445,179850,263386
E09000014,Haringey,221251,224474,225027,226472,229271,233174,236793,244459,249805,252742,255540,258912,215667
E09000019,Islington,179387,180118,180899,180831,183477,185283,188636,192089,196704,200129,206285,211047,155594
E09000020,Kensington and Chelsea,162199,163827,165268,165752,168375,165245,162883,162579,161893,160463,158251,155930,314242
E09000022,Lambeth,273372,273041,272195,274262,277620,280524,284964,289126,294050,297650,304481,310200,286180
E09000023,Lewisham,254336,253662,251936,252455,254930,257976,261188,266508,270418,272525,276938,281556,318227
E09000025,Newham,249411,255282,256224,254434,253798,257994,266285,276478,286447,299171,310460,314084,298464
E09000028,Southwark,256712,256269,255242,257257,261811,267553,272626,276973,281120,283777,288717,293530,272890
E09000030,Tower Hamlets,201090,207031,208651,211154,213382,218400,225251,231893,240495,248520,256012,263003,310516
E09000032,Wandsworth,271742,274917,276828,278615,283229,287538,291440,294305,299347,302620,307710,308312,226841
E09000033,Westminster,203329,208100,211009,214557,223132,222829,220619,218673,216980,217187,219582,223858,194352
E09000002,Barking and Dagenham,165654,166357,166210,165610,166275,167157,169031,172452,177580,182838,187029,190560,369088
E09000003,Barnet,319481,320552,321802,323723,327541,330801,334837,339212,345829,351438,357538,363956,236687
E09000004,Bexley,218757,219123,220016,220917,222391,223280,224625,226652,228146,230711,232774,234271,317264
E09000005,Brent,269620,269871,268323,268335,270939,276504,283273,290901,298118,304785,312245,314660,317899
E09000006,Bromley,296218,296668,297253,297307,299421,300963,302625,304968,306924,308560,310554,314036,372752
E09000008,Croydon,335112,335415,335919,337134,339052,340449,344029,349308,352763,357951,364815,368886,342494
E09000009,Ealing,307276,309242,308108,310073,312774,315329,318671,324022,329966,334073,339314,340671,320524
E09000010,Enfield,277266,280745,281835,282217,284779,287429,291534,297443,301971,307648,313935,317287,264008
E09000011,Greenwich,217460,221476,224303,227190,230494,233990,236535,239748,243672,249171,255483,260068,243372
E09000015,Harrow,210044,212336,213728,216267,221109,223632,226355,229567,233495,237451,240499,242377,242080
E09000016,Havering,224717,225054,225248,225769,226990,228198,229789,231793,234127,236234,237927,239733,286806
E09000017,Hillingdon,245616,247063,248054,248691,251430,254387,256981,261051,265665,269465,275499,281756,262407
E09000018,Hounslow,215976,216888,216498,219440,223776,228126,233454,237907,243366,249236,254927,259052,166793
E09000021,Kingston upon Thames,149045,149642,149683,151055,152489,153667,154485,156027,157307,158648,160436,163906,203223
E09000024,Merton,191106,190561,189298,188908,190583,192520,194260,195859,198136,199136,200543,202225,288272
E09000026,Redbridge,241893,244273,247412,248774,251560,255590,259965,265452,270435,275088,281395,284617,191365
E09000027,Richmond upon Thames,174311,175441,177182,179312,181508,182520,182421,182927,184394,186304,187527,189145,195914
E09000029,Sutton,181461,181265,181267,181094,182103,182882,184174,185860,188167,189321,191123,193630,265797
E09000031,Waltham Forest,222015,223776,224115,225002,226747,230731,235665,242098,248140,254009,259742,262566,8792626
E12000008,South East,8023449,8045192,8087924,8133100,8202896,8270861,8351391,8426399,8490922,8577771,8652784,8724737,116567
E06000036,Bracknell Forest,109650,109490,109475,109189,109487,109896,110702,111455,111916,112893,113696,115058,278112
E06000043,Brighton and Hove,249949,249743,249846,249847,252863,255564,258161,262019,265584,269495,272952,275762,138393
E06000046,Isle of Wight,132925,133908,134783,135891,137179,137727,138289,138675,138361,138364,138392,138748,271105
E06000035,Medway,249704,250262,251159,251459,252098,253478,255824,258224,260230,262738,264885,268218,255692
E06000042,Milton Keynes,212707,215061,217597,219521,223462,227225,231033,235625,240178,245450,249895,252358,207460
E06000044,Portsmouth,188043,188476,190283,193483,196318,195964,194907,196036,198983,202700,205433,206836,159247
E06000038,Reading,144684,143915,144070,144590,146940,148321,149678,151460,152326,154296,155339,157112,143024
E06000039,Slough,120577,120927,120869,120833,122874,125200,127991,131453,134742,137800,140713,141838,242141
E06000045,Southampton,219539,220459,221989,223589,226655,226698,227223,228447,230017,233085,235870,239428,155392
E06000037,West Berkshire,144494,143913,144297,145147,146492,148107,150056,152024,153039,153943,154148,154486,146335
E06000040,Windsor and Maidenhead,133541,133631,134201,135066,136446,138012,139743,141345,142424,143988,145098,145822,157866
E06000041,Wokingham,150334,149445,148794,149008,149598,150548,152144,153191,154165,154650,154943,156663,516096
